frame,D_arcmin,moon_center_x_arcmin,sun_offset_arcmin,sun_peek_arcmin,phase
0,0.0000,0.0000,0.0000,-41.0372,total
1,0.1671,0.1671,0.1671,-40.8701,total
2,0.3343,0.3343,0.3343,-40.7030,total
3,0.5014,0.5014,0.5014,-40.5359,total
4,0.6685,0.6685,0.6685,-40.3687,total
5,0.8357,0.8357,0.8357,-40.2016,total
6,1.0028,1.0028,1.0028,-40.0345,total
7,1.1699,1.1699,1.1699,-39.8673,total
8,1.3370,1.3370,1.3370,-39.7002,total
9,1.5042,1.5042,1.5042,-39.5331,total
10,1.6713,1.6713,1.6713,-39.3659,total
11,1.8384,1.8384,1.8384,-39.1988,total
12,2.0056,2.0056,2.0056,-39.0317,total
13,2.1727,2.1727,2.1727,-38.8645,total
14,2.3398,2.3398,2.3398,-38.6974,total
15,2.5070,2.5070,2.5070,-38.5303,total
16,2.6741,2.6741,2.6741,-38.3632,total
17,2.8412,2.8412,2.8412,-38.1960,total
18,3.0084,3.0084,3.0084,-38.0289,total
19,3.1755,3.1755,3.1755,-37.8618,total
20,3.3426,3.3426,3.3426,-37.6946,total
21,3.5097,3.5097,3.5097,-37.5275,total
22,3.6769,3.6769,3.6769,-37.3604,total
23,3.8440,3.8440,3.8440,-37.1932,total
24,4.0111,4.0111,4.0111,-37.0261,total
25,4.1783,4.1783,4.1783,-36.8590,total
26,4.3454,4.3454,4.3454,-36.6918,total
27,4.5125,4.5125,4.5125,-36.5247,total
28,4.6797,4.6797,4.6797,-36.3576,total
29,4.8468,4.8468,4.8468,-36.1904,total
30,5.0139,5.0139,5.0139,-36.0233,total
31,5.1811,5.1811,5.1811,-35.8562,total
32,5.3482,5.3482,5.3482,-35.6891,total
33,5.5153,5.5153,5.5153,-35.5219,total
34,5.6825,5.6825,5.6825,-35.3548,total
35,5.8496,5.8496,5.8496,-35.1877,total
36,6.0167,6.0167,6.0167,-35.0205,total
37,6.1838,6.1838,6.1838,-34.8534,total
38,6.3510,6.3510,6.3510,-34.6863,total
39,6.5181,6.5181,6.5181,-34.5191,total
40,6.6852,6.6852,6.6852,-34.3520,total
41,6.8524,6.8524,6.8524,-34.1849,total
42,7.0195,7.0195,7.0195,-34.0177,total
43,7.1866,7.1866,7.1866,-33.8506,total
44,7.3538,7.3538,7.3538,-33.6835,total
45,7.5209,7.5209,7.5209,-33.5164,total
46,7.6880,7.6880,7.6880,-33.3492,total
47,7.8552,7.8552,7.8552,-33.1821,total
48,8.0223,8.0223,8.0223,-33.0150,total
49,8.1894,8.1894,8.1894,-32.8478,total
50,8.3565,8.3565,8.3565,-32.6807,total
51,8.5237,8.5237,8.5237,-32.5136,total
52,8.6908,8.6908,8.6908,-32.3464,total
53,8.8579,8.8579,8.8579,-32.1793,total
54,9.0251,9.0251,9.0251,-32.0122,total
55,9.1922,9.1922,9.1922,-31.8450,total
56,9.3593,9.3593,9.3593,-31.6779,total
57,9.5265,9.5265,9.5265,-31.5108,total
58,9.6936,9.6936,9.6936,-31.3437,total
59,9.8607,9.8607,9.8607,-31.1765,total
60,10.0279,10.0279,10.0279,-31.0094,total
61,10.1950,10.1950,10.1950,-30.8423,total
62,10.3621,10.3621,10.3621,-30.6751,total
63,10.5292,10.5292,10.5292,-30.5080,total
64,10.6964,10.6964,10.6964,-30.3409,total
65,10.8635,10.8635,10.8635,-30.1737,total
66,11.0306,11.0306,11.0306,-30.0066,total
67,11.1978,11.1978,11.1978,-29.8395,total
68,11.3649,11.3649,11.3649,-29.6723,total
69,11.5320,11.5320,11.5320,-29.5052,total
70,11.6992,11.6992,11.6992,-29.3381,total
71,11.8663,11.8663,11.8663,-29.1710,total
72,12.0334,12.0334,12.0334,-29.0038,total
73,12.2006,12.2006,12.2006,-28.8367,total
74,12.3677,12.3677,12.3677,-28.6696,total
75,12.5348,12.5348,12.5348,-28.5024,total
76,12.7019,12.7019,12.7019,-28.3353,total
77,12.8691,12.8691,12.8691,-28.1682,total
78,13.0362,13.0362,13.0362,-28.0010,total
79,13.2033,13.2033,13.2033,-27.8339,total
80,13.3705,13.3705,13.3705,-27.6668,total
81,13.5376,13.5376,13.5376,-27.4996,total
82,13.7047,13.7047,13.7047,-27.3325,total
83,13.8719,13.8719,13.8719,-27.1654,total
84,14.0390,14.0390,14.0390,-26.9982,total
85,14.2061,14.2061,14.2061,-26.8311,total
86,14.3733,14.3733,14.3733,-26.6640,total
87,14.5404,14.5404,14.5404,-26.4969,total
88,14.7075,14.7075,14.7075,-26.3297,total
89,14.8747,14.8747,14.8747,-26.1626,total
90,15.0418,15.0418,15.0418,-25.9955,total
91,15.2089,15.2089,15.2089,-25.8283,total
92,15.3760,15.3760,15.3760,-25.6612,total
93,15.5432,15.5432,15.5432,-25.4941,total
94,15.7103,15.7103,15.7103,-25.3269,total
95,15.8774,15.8774,15.8774,-25.1598,total
96,16.0446,16.0446,16.0446,-24.9927,total
97,16.2117,16.2117,16.2117,-24.8255,total
98,16.3788,16.3788,16.3788,-24.6584,total
99,16.5460,16.5460,16.5460,-24.4913,total
100,16.7131,16.7131,16.7131,-24.3242,total
101,16.8802,16.8802,16.8802,-24.1570,total
102,17.0474,17.0474,17.0474,-23.9899,total
103,17.2145,17.2145,17.2145,-23.8228,total
104,17.3816,17.3816,17.3816,-23.6556,total
105,17.5487,17.5487,17.5487,-23.4885,total
106,17.7159,17.7159,17.7159,-23.3214,total
107,17.8830,17.8830,17.8830,-23.1542,total
108,18.0501,18.0501,18.0501,-22.9871,total
109,18.2173,18.2173,18.2173,-22.8200,total
110,18.3844,18.3844,18.3844,-22.6528,total
111,18.5515,18.5515,18.5515,-22.4857,total
112,18.7187,18.7187,18.7187,-22.3186,total
113,18.8858,18.8858,18.8858,-22.1515,total
114,19.0529,19.0529,19.0529,-21.9843,total
115,19.2201,19.2201,19.2201,-21.8172,total
116,19.3872,19.3872,19.3872,-21.6501,total
117,19.5543,19.5543,19.5543,-21.4829,total
118,19.7214,19.7214,19.7214,-21.3158,total
119,19.8886,19.8886,19.8886,-21.1487,total
120,20.0557,20.0557,20.0557,-20.9815,total
121,20.2228,20.2228,20.2228,-20.8144,total
122,20.3900,20.3900,20.3900,-20.6473,total
123,20.5571,20.5571,20.5571,-20.4801,total
124,20.7242,20.7242,20.7242,-20.3130,total
125,20.8914,20.8914,20.8914,-20.1459,total
126,21.0585,21.0585,21.0585,-19.9787,total
127,21.2256,21.2256,21.2256,-19.8116,total
128,21.3928,21.3928,21.3928,-19.6445,total
129,21.5599,21.5599,21.5599,-19.4774,total
130,21.7270,21.7270,21.7270,-19.3102,total
131,21.8942,21.8942,21.8942,-19.1431,total
132,22.0613,22.0613,22.0613,-18.9760,total
133,22.2284,22.2284,22.2284,-18.8088,total
134,22.3955,22.3955,22.3955,-18.6417,total
135,22.5627,22.5627,22.5627,-18.4746,total
136,22.7298,22.7298,22.7298,-18.3074,total
137,22.8969,22.8969,22.8969,-18.1403,total
138,23.0641,23.0641,23.0641,-17.9732,total
139,23.2312,23.2312,23.2312,-17.8060,total
140,23.3983,23.3983,23.3983,-17.6389,total
141,23.5655,23.5655,23.5655,-17.4718,total
142,23.7326,23.7326,23.7326,-17.3047,total
143,23.8997,23.8997,23.8997,-17.1375,total
144,24.0669,24.0669,24.0669,-16.9704,total
145,24.2340,24.2340,24.2340,-16.8033,total
146,24.4011,24.4011,24.4011,-16.6361,total
147,24.5682,24.5682,24.5682,-16.4690,total
148,24.7354,24.7354,24.7354,-16.3019,total
149,24.9025,24.9025,24.9025,-16.1347,total
150,25.0696,25.0696,25.0696,-15.9676,total
151,25.2368,25.2368,25.2368,-15.8005,total
152,25.4039,25.4039,25.4039,-15.6333,total
153,25.5710,25.5710,25.5710,-15.4662,total
154,25.7382,25.7382,25.7382,-15.2991,total
155,25.9053,25.9053,25.9053,-15.1320,total
156,26.0724,26.0724,26.0724,-14.9648,total
157,26.2396,26.2396,26.2396,-14.7977,total
158,26.4067,26.4067,26.4067,-14.6306,total
159,26.5738,26.5738,26.5738,-14.4634,total
160,26.7409,26.7409,26.7409,-14.2963,total
161,26.9081,26.9081,26.9081,-14.1292,total
162,27.0752,27.0752,27.0752,-13.9620,total
163,27.2423,27.2423,27.2423,-13.7949,total
164,27.4095,27.4095,27.4095,-13.6278,total
165,27.5766,27.5766,27.5766,-13.4606,total
166,27.7437,27.7437,27.7437,-13.2935,total
167,27.9109,27.9109,27.9109,-13.1264,total
168,28.0780,28.0780,28.0780,-12.9593,total
169,28.2451,28.2451,28.2451,-12.7921,total
170,28.4123,28.4123,28.4123,-12.6250,total
171,28.5794,28.5794,28.5794,-12.4579,total
172,28.7465,28.7465,28.7465,-12.2907,total
173,28.9136,28.9136,28.9136,-12.1236,total
174,29.0808,29.0808,29.0808,-11.9565,total
175,29.2479,29.2479,29.2479,-11.7893,total
176,29.4150,29.4150,29.4150,-11.6222,total
177,29.5822,29.5822,29.5822,-11.4551,total
178,29.7493,29.7493,29.7493,-11.2879,total
179,29.9164,29.9164,29.9164,-11.1208,total
180,30.0836,30.0836,30.0836,-10.9537,total
181,30.2507,30.2507,30.2507,-10.7865,total
182,30.4178,30.4178,30.4178,-10.6194,total
183,30.5850,30.5850,30.5850,-10.4523,total
184,30.7521,30.7521,30.7521,-10.2852,total
185,30.9192,30.9192,30.9192,-10.1180,total
186,31.0864,31.0864,31.0864,-9.9509,total
187,31.2535,31.2535,31.2535,-9.7838,total
188,31.4206,31.4206,31.4206,-9.6166,total
189,31.5877,31.5877,31.5877,-9.4495,total
190,31.7549,31.7549,31.7549,-9.2824,total
191,31.9220,31.9220,31.9220,-9.1152,total
192,32.0891,32.0891,32.0891,-8.9481,total
193,32.2563,32.2563,32.2563,-8.7810,total
194,32.4234,32.4234,32.4234,-8.6138,total
195,32.5905,32.5905,32.5905,-8.4467,total
196,32.7577,32.7577,32.7577,-8.2796,total
197,32.9248,32.9248,32.9248,-8.1125,total
198,33.0919,33.0919,33.0919,-7.9453,total
199,33.2591,33.2591,33.2591,-7.7782,total
200,33.4262,33.4262,33.4262,-7.6111,total
201,33.5933,33.5933,33.5933,-7.4439,total
202,33.7604,33.7604,33.7604,-7.2768,total
203,33.9276,33.9276,33.9276,-7.1097,total
204,34.0947,34.0947,34.0947,-6.9425,total
205,34.2618,34.2618,34.2618,-6.7754,total
206,34.4290,34.4290,34.4290,-6.6083,total
207,34.5961,34.5961,34.5961,-6.4411,total
208,34.7632,34.7632,34.7632,-6.2740,total
209,34.9304,34.9304,34.9304,-6.1069,total
210,35.0975,35.0975,35.0975,-5.9398,total
211,35.2646,35.2646,35.2646,-5.7726,total
212,35.4318,35.4318,35.4318,-5.6055,total
213,35.5989,35.5989,35.5989,-5.4384,total
214,35.7660,35.7660,35.7660,-5.2712,total
215,35.9331,35.9331,35.9331,-5.1041,total
216,36.1003,36.1003,36.1003,-4.9370,total
217,36.2674,36.2674,36.2674,-4.7698,total
218,36.4345,36.4345,36.4345,-4.6027,total
219,36.6017,36.6017,36.6017,-4.4356,total
220,36.7688,36.7688,36.7688,-4.2684,total
221,36.9359,36.9359,36.9359,-4.1013,total
222,37.1031,37.1031,37.1031,-3.9342,total
223,37.2702,37.2702,37.2702,-3.7671,total
224,37.4373,37.4373,37.4373,-3.5999,total
225,37.6045,37.6045,37.6045,-3.4328,total
226,37.7716,37.7716,37.7716,-3.2657,total
227,37.9387,37.9387,37.9387,-3.0985,total
228,38.1058,38.1058,38.1058,-2.9314,total
229,38.2730,38.2730,38.2730,-2.7643,total
230,38.4401,38.4401,38.4401,-2.5971,total
231,38.6072,38.6072,38.6072,-2.4300,total
232,38.7744,38.7744,38.7744,-2.2629,total
233,38.9415,38.9415,38.9415,-2.0957,total
234,39.1086,39.1086,39.1086,-1.9286,total
235,39.2758,39.2758,39.2758,-1.7615,total
236,39.4429,39.4429,39.4429,-1.5943,total
237,39.6100,39.6100,39.6100,-1.4272,total
238,39.7772,39.7772,39.7772,-1.2601,total
239,39.9443,39.9443,39.9443,-1.0930,total
240,40.1114,40.1114,40.1114,-0.9258,total
241,40.2786,40.2786,40.2786,-0.7587,total
242,40.4457,40.4457,40.4457,-0.5916,total
243,40.6128,40.6128,40.6128,-0.4244,total
244,40.7799,40.7799,40.7799,-0.2573,total
245,40.9471,40.9471,40.9471,-0.0902,total
246,41.1142,41.1142,41.1142,0.0770,diamond
247,41.2813,41.2813,41.2813,0.2441,diamond
248,41.4485,41.4485,41.4485,0.4112,diamond
249,41.6156,41.6156,41.6156,0.5784,diamond
250,41.7827,41.7827,41.7827,0.7455,diamond
251,41.9499,41.9499,41.9499,0.9126,diamond
252,42.1170,42.1170,42.1170,1.0797,diamond
253,42.2841,42.2841,42.2841,1.2469,diamond
254,42.4513,42.4513,42.4513,1.4140,diamond
255,42.6184,42.6184,42.6184,1.5811,diamond
256,42.7855,42.7855,42.7855,1.7483,diamond
257,42.9526,42.9526,42.9526,1.9154,diamond
258,43.1198,43.1198,43.1198,2.0825,diamond
259,43.2869,43.2869,43.2869,2.2497,diamond
260,43.4540,43.4540,43.4540,2.4168,diamond
261,43.6212,43.6212,43.6212,2.5839,diamond
262,43.7883,43.7883,43.7883,2.7511,diamond
263,43.9554,43.9554,43.9554,2.9182,diamond
264,44.1226,44.1226,44.1226,3.0853,diamond
265,44.2897,44.2897,44.2897,3.2524,diamond
266,44.4568,44.4568,44.4568,3.4196,diamond
267,44.6240,44.6240,44.6240,3.5867,diamond
268,44.7911,44.7911,44.7911,3.7538,diamond
269,44.9582,44.9582,44.9582,3.9210,diamond
270,45.1253,45.1253,45.1253,4.0881,diamond
271,45.2925,45.2925,45.2925,4.2552,diamond
272,45.4596,45.4596,45.4596,4.4224,diamond
273,45.6267,45.6267,45.6267,4.5895,diamond
274,45.7939,45.7939,45.7939,4.7566,diamond
275,45.9610,45.9610,45.9610,4.9238,diamond
276,46.1281,46.1281,46.1281,5.0909,diamond
277,46.2953,46.2953,46.2953,5.2580,diamond
278,46.4624,46.4624,46.4624,5.4251,diamond
279,46.6295,46.6295,46.6295,5.5923,diamond
280,46.7967,46.7967,46.7967,5.7594,diamond
281,46.9638,46.9638,46.9638,5.9265,diamond
282,47.1309,47.1309,47.1309,6.0937,diamond
283,47.2981,47.2981,47.2981,6.2608,diamond
284,47.4652,47.4652,47.4652,6.4279,diamond
285,47.6323,47.6323,47.6323,6.5951,diamond
286,47.7994,47.7994,47.7994,6.7622,diamond
287,47.9666,47.9666,47.9666,6.9293,diamond
288,48.1337,48.1337,48.1337,7.0965,diamond
289,48.3008,48.3008,48.3008,7.2636,diamond
290,48.4680,48.4680,48.4680,7.4307,diamond
291,48.6351,48.6351,48.6351,7.5979,diamond
292,48.8022,48.8022,48.8022,7.7650,diamond
293,48.9694,48.9694,48.9694,7.9321,diamond
294,49.1365,49.1365,49.1365,8.0992,diamond
295,49.3036,49.3036,49.3036,8.2664,diamond
296,49.4708,49.4708,49.4708,8.4335,diamond
297,49.6379,49.6379,49.6379,8.6006,diamond
298,49.8050,49.8050,49.8050,8.7678,diamond
299,49.9721,49.9721,49.9721,8.9349,diamond
300,50.1393,50.1393,50.1393,9.1020,diamond
301,50.3064,50.3064,50.3064,9.2692,diamond
302,50.4735,50.4735,50.4735,9.4363,diamond
303,50.6407,50.6407,50.6407,9.6034,diamond
304,50.8078,50.8078,50.8078,9.7706,diamond
305,50.9749,50.9749,50.9749,9.9377,diamond
306,51.1421,51.1421,51.1421,10.1048,diamond
307,51.3092,51.3092,51.3092,10.2719,diamond
308,51.4763,51.4763,51.4763,10.4391,diamond
309,51.6435,51.6435,51.6435,10.6062,diamond
310,51.8106,51.8106,51.8106,10.7733,diamond
311,51.9777,51.9777,51.9777,10.9405,diamond
312,52.1448,52.1448,52.1448,11.1076,diamond
313,52.3120,52.3120,52.3120,11.2747,diamond
314,52.4791,52.4791,52.4791,11.4419,diamond
315,52.6462,52.6462,52.6462,11.6090,diamond
316,52.8134,52.8134,52.8134,11.7761,diamond
317,52.9805,52.9805,52.9805,11.9433,diamond
318,53.1476,53.1476,53.1476,12.1104,diamond
319,53.3148,53.3148,53.3148,12.2775,diamond
320,53.4819,53.4819,53.4819,12.4446,diamond
321,53.6490,53.6490,53.6490,12.6118,diamond
322,53.8162,53.8162,53.8162,12.7789,diamond
323,53.9833,53.9833,53.9833,12.9460,diamond
324,54.1504,54.1504,54.1504,13.1132,diamond
325,54.3175,54.3175,54.3175,13.2803,diamond
326,54.4847,54.4847,54.4847,13.4474,diamond
327,54.6518,54.6518,54.6518,13.6146,diamond
328,54.8189,54.8189,54.8189,13.7817,diamond
329,54.9861,54.9861,54.9861,13.9488,diamond
330,55.1532,55.1532,55.1532,14.1160,diamond
331,55.3203,55.3203,55.3203,14.2831,diamond
332,55.4875,55.4875,55.4875,14.4502,diamond
333,55.6546,55.6546,55.6546,14.6174,diamond
334,55.8217,55.8217,55.8217,14.7845,diamond
335,55.9889,55.9889,55.9889,14.9516,diamond
336,56.1560,56.1560,56.1560,15.1187,diamond
337,56.3231,56.3231,56.3231,15.2859,diamond
338,56.4903,56.4903,56.4903,15.4530,diamond
339,56.6574,56.6574,56.6574,15.6201,diamond
340,56.8245,56.8245,56.8245,15.7873,diamond
341,56.9916,56.9916,56.9916,15.9544,diamond
342,57.1588,57.1588,57.1588,16.1215,egress
343,57.3259,57.3259,57.3259,16.2887,egress
344,57.4930,57.4930,57.4930,16.4558,egress
345,57.6602,57.6602,57.6602,16.6229,egress
346,57.8273,57.8273,57.8273,16.7901,egress
347,57.9944,57.9944,57.9944,16.9572,egress
348,58.1616,58.1616,58.1616,17.1243,egress
349,58.3287,58.3287,58.3287,17.2914,egress
350,58.4958,58.4958,58.4958,17.4586,egress
351,58.6630,58.6630,58.6630,17.6257,egress
352,58.8301,58.8301,58.8301,17.7928,egress
353,58.9972,58.9972,58.9972,17.9600,egress
354,59.1643,59.1643,59.1643,18.1271,egress
355,59.3315,59.3315,59.3315,18.2942,egress
356,59.4986,59.4986,59.4986,18.4614,egress
357,59.6657,59.6657,59.6657,18.6285,egress
358,59.8329,59.8329,59.8329,18.7956,egress
359,60.0000,60.0000,60.0000,18.9628,egress
